aalib 1.4rc5-13
libibus 1.5.22-1
libical 3.0.8-1
libice 1.0.10-2
libid3tag 0.15.1b-9
libidn 1.35-2
libidn2 2.3.0-1
libiec61883 1.2.0-5
libimagequant 2.12.6-1
libimobiledevice 1.2.0+87+g92c5462-6
libindicator-gtk2 12.10.1-9
libindicator-gtk3 12.10.1-9
libinput 1.15.4-1
libinstpatch 1.1.3-1
libiodbc 3.52.13-1
libiscsi 1.19.0-1
libixion 0.15.0-1
libjpeg-turbo 2.0.4-1
libkate 0.4.1-7
libkcompactdisc 19.12.3-1
libkexiv2 19.12.3-1
libkeybinder3 0.3.2-3
libkipi 19.12.3-1
libkmahjongg 19.12.3-1
libksba 1.3.5-2
libksysguard 5.18.3-1
liblangtag 0.6.3-1
libldap 2.4.49-1
liblouis 3.13.0-1
liblphobos 2:1.20.1-1
liblqr 0.4.2-2
liblrdf 0.6.1-3
libmad 0.15.1b-8
libmagick6 6.9.11.3-1
libmanette 0.2.3-1
libmaxminddb 1.4.2-1
libmbim 1.22.0-1
libmediawiki 5.37.0-1
libmfx 19.4.0-4
libmicrohttpd 0.9.70-1
libmikmod 3.3.11.1-4
libmm-glib 1.12.8-1
libmms 0.6.4-2
libmng 2.0.3-2
libmnl 1.0.4-3
libmodplug 0.8.9.0-2
libmp4v2 4.1.3-1
libmpc 1.1.0-2
libmpcdec 1:0.1+r475-2
libmpdclient 2.18-1
libmspub 0.1.4-6
libmsym 0.2.3-2
libmtp 1.1.17-1
libmwaw 0.3.16-1
libmypaint 1.5.1-1
libndp 1.7-1
libnet 1.1.6-3
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.21-3
libnfnetlink 1.0.1-3
libnfs 4.0.0-3
libnftnl 1.1.5-1
libnghttp2 1.39.2-2
libnice 0.1.16-1
libnl 3.5.0-2
libnm 1.22.10-1
libnma 1.8.28-1
libnotify 0.7.9-1
libnsl 1.2.0-2
libnumbertext 1.0.5-1
liboauth 1.0.3+14+g186fb14-1
libodfgen 0.1.7-1
libofa 0.9.3-8
libogg 1.3.4-1
libomxil-bellagio 0.9.3-2
liborcus 0.15.3-1
libp11-kit 0.23.20-3
libpackagekit-glib 1.1.13-1
libpagemaker 0.0.4-2
libpaper 1.1.28-1
libpcap 1.9.1-2
libpciaccess 0.16-1
libpgm 5.2.122-5
libpipeline 1.5.2-1
libpipewire02 0.2.7-1
libplacebo 1.29.1-1
libplist 2.1.0-2
libpng 1.6.37-1
libportal 0.3-1
libproxy 0.4.15+33+g454a499-1
libpsl 0.21.0-2
libpulse 13.0-3
libpwquality 1.4.2-2
libqalculate 3.8.0-1
libqmi 1.24.8-1
libqtxdg 3.4.0-3
libquvi 0.9.4-5
libquvi-scripts 0.9.20131130-4
libqxp 0.0.2-3
libraqm 0.7.0-1
libraw 0.19.5-2
libraw1394 2.1.2-2
libreoffice-fresh 6.4.2-1
librevenge 0.0.4-2
librsvg 2:2.48.1-1
libsamplerate 0.1.9-3
libsasl 2.1.27-2
libsass 3.6.3-1
libseccomp 2.4.2-1
libsecret 0.20.2-1
libshout 1:2.4.3-2
libsigc++ 2.10.3-1
libslirp 4.1.0-1
libsm 1.2.3-1
libsndfile 1.0.28-3
libsodium 1.0.18-1
libsoup 2.70.0-1
libsoxr 0.1.3-1
libspectre 0.2.8-2
libspiro 1:20190731-1
libspnav 0.2.3-2
libsrtp 1:2.3.0-1
libssh 0.9.3-1
libssh2 1.9.0-2
libstaroffice 0.0.6-1
libstemmer 0+713-1
libtasn1 4.16.0-1
libteam 1.30-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.1.0-1
libtirpc 1.2.5-1
libtommath 1.2.0-1
libtool 2.4.6+42+gb88cebd5-11
libuninameslist 20190701-1
libunistring 0.9.10-2
libunwind 1.3.1-1
libupnp 1.6.25-1
liburcu 0.11.0-1
libusb 1.0.23-2
libusbmuxd 2.0.1-1
libutempter 1.1.6-3
libutil-linux 2.35.1-1
libuv 1.35.0-1
libva 2.6.1-1
libvdpau 1.3-1
libvirt 5.10.0-2
libvirt-glib 3.0.0-1
libvisio 0.1.7-2
libvisual 0.4.0-7
libvoikko 4.3-1
libvorbis 1.3.6-1
libvpx 1.8.2-1
libwacom 1.3-1
libwbclient 4.11.3-3
libwebp 1.1.0-1
libwmf 0.2.12-1
libwnck3 3.36.0-1
libwpd 0.10.3-1
libwpe 1.6.0-1
libwpg 0.3.3-1
libwps 0.4.10-1
libx11 1.6.9-6
libxau 1.0.9-2
libxaw 1.0.13-2
libxcb 1.14-1
libxcomposite 0.4.5-2
libxcursor 1.2.0-1
libxdamage 1.1.5-2
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-2
libxext 1.3.4-2
libxfce4ui 4.14.1-2
libxfce4util 4.14.0-1
libxfixes 5.0.3-3
libxfont2 2.0.4-2
libxft 2.3.3-1
libxi 1.7.10-2
libxinerama 1.1.4-2
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.10-1
libxmlb 0.1.14-1
libxmu 1.1.3-1
libxnvctrl 440.64-1
libxpm 3.5.13-1
libxrandr 1.5.2-2
libxrender 0.9.10-3
libxres 1.2.0-1
libxshmfence 1.3-1
libxslt 1.1.34-2
libxss 1.2.3-2
libxt 1.2.0-1
libxtst 1.2.3-3
libxv 1.0.11-3
libxvmc 1.0.12-2
libxxf86vm 1.1.4-3
libyaml 0.2.2-1
libzip 1.5.2-2
libzmf 0.0.2-7
licenses 20191011-2
lilv 0.24.6-2
linux 5.5.13.arch1-1
linux-api-headers 5.4.17-1
linux-firmware 20200224.efcfa03-1
linux-headers 5.5.13.arch1-1
linux-zen 5.5.13.zen1-1
linux-zen-headers 5.5.13.zen1-1
lld 9.0.1-1
lldb 9.0.1-1
llvm 9.0.1-2
llvm-libs 9.0.1-2
lm_sensors 3.6.0-1
lmdb 0.9.24-1
log4cplus 2.0.5-1
lpsolve 5.5.2.5-3
lsb-release 1.4-15
lsof 4.93.2-1
lttng-ust 2.11.0-3
lua 5.3.5-3
lua-lgi 0.9.2-1
lua52 5.2.4-5
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-2
lua52-socket 20190219-1
luajit 2.0.5-2
lutris 0.5.4-2
lvm2 2.02.187-1
lxappearance 0.6.3-2
lxmenu-data 0.1.5-2
lxtask 0.1.9-1
lz4 1:1.9.2-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.48+14+g5811758-1
make 4.3-1
mallard-ducktype 1.0.2-3
man-db 2.9.1-1
man-pages 5.05-2
mariadb-libs 10.4.12-1
mate-common 1.24.0-1
mate-menus 1.24.0-1
materia-gtk-theme 20200320-1
materia-kde 20200214-1
mbedtls 2.16.5-1
md4c 0.4.3-1
mdadm 4.1-2
media-player-info 24-1
menu-cache 1.1.0-1
mercurial 5.3.1-1
mesa 19.3.4-2
mesa-demos 8.4.0-2
meson 0.53.2-1
metis 5.1.0.p8-1
minecraft-launcher 2.1.13086-1
minizip 1:1.2.11-4
mjpegtools 2.1.0-4
mkinitcpio 27-3
mkinitcpio-busybox 1.31.1-1
mobile-broadband-provider-info 20190618-1
modemmanager 1.12.8-1
modemmanager-qt 5.68.0-1
mono 6.4.0.198-1
mozilla-common 1.4-5
mpd 0.21.21-1
mpfr 4.0.2-2
mpg123 1.25.13-1
mpris2controller-git 0.9.r4.gbb7f91a-1
mpv 1:0.32.0-2
mtdev 1.1.6-1
mtools 4.0.24-1
mujs 1.0.6-1
mypaint-brushes1 1.3.1-1
mysql-python 1.2.5-3
nano 4.9-1
nasm 2.14.02-1
nautilus-sendto 3.8.6+14+ge8a3604-1
ncurses 6.2-1
ndctl 68-1
neofetch 7.0.0-1
neon 0.30.2-3
nerd-fonts-hack 2.1.0-2
net-tools 1.60.20181103git-2
netcf 0.2.8-7
netctl 1.20-2
netpbm 10.73.31-1
nettle 3.5.1-2
networkmanager 1.22.10-1
networkmanager-dmenu-git r103.d3e364a-1
ninja 1.10.0-1
nm-connection-editor 1.16.0-1
nmap 7.80-2
node-gyp 6.1.0-1
nodejs 13.12.0-1
noto-fonts 20190926-4
noto-fonts-emoji 20191016-6
npm 6.14.4-1
npth 1.6-2
nspr 4.25-1
nss 3.51-1
numactl 2.0.13-2
nvidia-dkms 440.64-8
nvidia-settings 440.64-1
nvidia-utils 440.64-2
nvm 0.35.3-1
oath-toolkit 2.6.2-7
obconf 2.0.4-6
ocs-url 3.1.0-6
okular 19.12.3-3
oniguruma 6.9.4-1
openal 1.20.1-2
openbabel 3.0.0-3
openbox 3.6.1-6
opencollada 1:1.6.68-1
opencolorio 1.1.1-4
opencore-amr 0.1.5-3
openexr 2.4.1-2
openimagedenoise 1.1.0-1
openimageio 2.1.11.2-2
openjpeg 1.5.2-2
openjpeg2 2.3.1-1
openmpi 4.0.3-1
openresolv 3.10.0-1
openshadinglanguage 1.10.9-3
openssh 8.2p1-3
openssl 1.1.1.e-1
openssl-1.0 1.0.2.u-1
opensubdiv 3.4.0-3
openvdb 7.0.0-3
opera-ffmpeg-codecs 80.0.3987.149-1
optimus-manager-git 1.2.2.r29.gb9a79a3-1
optimus-manager-qt-git 1.4.5.r11.g23e75f6-1
optipng 0.7.7-1
opus 1.3.1-1
opusfile 0.11-2
orc 0.4.31-1
os-prober 1.77-1
p11-kit 0.23.20-3
p7zip 16.02-5
packagekit 1.1.13-1
packagekit-qt5 1.0.2-1
pacman 5.2.1-4
pacman-contrib 1.3.0-1
pacman-mirrorlist 20200207-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7+11+g73b46b04-1
pangomm 2.42.1-2
papirus-icon-theme 20200301-1
parallel 20191122-1
parted 3.3-1
patch 2.7.6-8
patchelf 0.9-2
pavucontrol 1:4.0-1
pciutils 3.6.4-1
pcre 8.44-1
pcre2 10.34-3
pcsclite 1.8.26-1
peek 1.5.1-1
perl 5.30.1-1
perl-alien-build 2.17-1
perl-alien-libxml2 0.15-1
perl-capture-tiny 0.48-2
perl-encode-locale 1.05-5
perl-error 0.17029-1
perl-ffi-checklib 0.26-1
perl-file-chdir 0.1011-3
perl-file-listing 6.04-6
perl-file-which 1.23-2
perl-html-parser 3.72-8
perl-html-tagset 3.20-8
perl-http-cookies 6.08-1
perl-http-daemon 6.06-1
perl-http-date 6.05-1
